"Dist Code","Year","State Code","State Name","Dist Name","DIESEL PUMPSETS NUMBER (1000 Number)","DIESEL PUMPSETS DENSITY (Per 1000 ha)","ELECTRIC PUMPSETS NUMBER (1000 Number)","ELECTRIC PUMPSETS DENSITY (Per 1000 ha)","POWER TILLER NUMBER (1000 Number)","POWER TILLER DENSITY (Per 1000 ha)","TRACTORS NUMBER (1000 Number)","TRACTORS DENSITY (Per 1000 ha)"
"109","1982","7","Maharashtra","Parbhani","2.92","34.41","11.16","131.5","0.01","0.12","0.32","3.77"
"109","1987","7","Maharashtra","Parbhani","4.1","46.18","21.35","240.46","0.19","2.14","0.43","4.84"
"109","1992","7","Maharashtra","Parbhani","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"109","1997","7","Maharashtra","Parbhani","3.05","37.13","39.06","475.53","0.07","0.85","1.19","14.49"
"109","2003","7","Maharashtra","Parbhani","2.73","33.33","26.63","325.15","0.02","0.24","0.94","11.48"
"110","1966","7","Maharashtra","Beed","2.95","39.64","0.54","7.24","-1.0","-1.0","0.02","0.21"
"110","1972","7","Maharashtra","Beed","4.11","76.44","2.2","40.92","0.0","0.0","0.02","0.37"
"110","1978","7","Maharashtra","Beed","3.16","39.09","11.18","138.11","-1.0","-1.0","0.09","1.1"
"110","1982","7","Maharashtra","Beed","2.61","37.88","12.6","182.85","0.0","0.0","0.25","3.63"
"110","1987","7","Maharashtra","Beed","2.48","28.8","29.81","346.19","0.07","0.81","0.43","4.99"
"110","1992","7","Maharashtra","Beed","2.81","33.74","35.32","424.11","0.01","0.12","0.77","9.25"
"110","1997","7","Maharashtra","Beed","2.37","30.62","42.13","544.32","0.03","0.39","1.32","17.05"
"110","2003","7","Maharashtra","Beed","2.12","27.78","42.93","562.5","0.11","1.44","1.7","22.27"
"111","1966","7","Maharashtra","Nanded","1.05","14.45","0.34","4.72","-1.0","-1.0","0.01","0.18"
"111","1972","7","Maharashtra","Nanded","1.56","21.51","3.54","48.81","0.0","0.0","0.03","0.41"
"111","1978","7","Maharashtra","Nanded","1.17","16.07","7.72","105.99","-1.0","-1.0","0.06","0.88"
"111","1982","7","Maharashtra","Nanded","0.59","8.1","11.67","160.13","0.0","0.0","0.17","2.33"
"111","1987","7","Maharashtra","Nanded","1.73","25.51","16.87","248.78","0.06","0.88","0.15","2.21"
"111","1992","7","Maharashtra","Nanded","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"111","1997","7","Maharashtra","Nanded","0.58","7.8","28.48","383.05","0.0","0.0","1.12","15.06"
"111","2003","7","Maharashtra","Nanded","2.19","31.07","24.74","350.97","0.19","2.7","1.01","14.33"
"112","1966","7","Maharashtra","Osmanabad","8.38","78.08","1.33","12.4","-1.0","-1.0","0.09","0.82"
"112","1972","7","Maharashtra","Osmanabad","14.15","154.54","7.79","85.08","0.01","0.11","0.11","1.2"
"112","1978","7","Maharashtra","Osmanabad","11.4","102.21","15.72","140.96","-1.0","-1.0","0.21","1.89"
"112","1982","7","Maharashtra","Osmanabad","8.25","77.47","23.6","221.62","0.02","0.19","0.49","4.6"
"112","1987","7","Maharashtra","Osmanabad","6.56","56.95","37.62","326.59","0.56","4.86","1.2","10.42"
"112","1992","7","Maharashtra","Osmanabad","0.67","6.42","15.85","151.78","0.11","1.05","0.96","9.19"
"112","1997","7","Maharashtra","Osmanabad","6.21","52.8","58.64","498.6","0.04","0.34","2.54","21.6"
"112","2003","7","Maharashtra","Osmanabad","1.87","18.64","80.92","806.46","0.24","2.39","4.37","43.55"
"113","1966","7","Maharashtra","Buldhana","2.66","39.21","1.62","23.82","-1.0","-1.0","0.09","1.27"
"113","1972","7","Maharashtra","Buldhana","3.29","48.02","6.96","101.59","0.0","0.0","0.11","1.61"
"113","1978","7","Maharashtra","Buldhana","4.51","66.07","14.56","213.46","-1.0","-1.0","0.63","9.19"
"113","1982","7","Maharashtra","Buldhana","3.87","60.66","17.78","278.68","0.03","0.47","0.86","13.48"
"113","1987","7","Maharashtra","Buldhana","3.04","42.8","30.83","434.04","0.75","10.56","0.92","12.95"
"113","1992","7","Maharashtra","Buldhana","2.93","41.76","30.22","430.67","0.01","0.14","1.22","17.39"
"113","1997","7","Maharashtra","Buldhana","4.67","70.8","41.54","629.78","0.08","1.21","2.66","40.33"
"113","2003","7","Maharashtra","Buldhana","2.71","39.61","41.22","602.46","0.28","4.09","3.08","45.02"
"114","1966","7","Maharashtra","Akola","1.4","17.83","2.14","27.14","-1.0","-1.0","0.14","1.72"
"114","1972","7","Maharashtra","Akola","1.72","21.53","3.92","49.07","0.02","0.25","0.18","2.25"
"114","1978","7","Maharashtra","Akola","3.1","37.75","10.82","131.9","-1.0","-1.0","0.39","4.69"
"114","1982","7","Maharashtra","Akola","2.7","33.76","12.19","152.43","0.0","0.0","0.67","8.38"
