state_number,crop_name,RMS_RandomForest,RandomForest,RMS_LinearRegression,LinearRegression
105,RiceYD,363.124249,1935.6354,340.6205155,2170.73847
105,WheatYD,416.5682655,2039.4129,495.3738311,2051.296567
105,KharifSorghumYD,310.5880106,794.1425,247.0482264,857.3509615
105,RabiSorghumYD,161.3905157,583.2027,145.6501296,605.9708084
105,PEARL_MILLET_YIELD,293.8286683,229.9527,304.9973134,234.7637217
105,MAIZE_YIELD,574.3440044,2398.1645,788.7378797,2197.037957
105,FINGER_MILLET_YIELD,646.4614,646.4614,1440.381607,1440.381607
105,BARLEY YIELD,0,0,0,0
105,CHICKPEA_YIELD,90.91414134,738.0055,85.11157041,706.5399683
105,PIGEONPEA_YIELD,275.6372211,494.096,276.3635887,541.6372745
105,MINOR PULSES AREA (1000 ha),8.023447747,34.748,5.610815203,26.11515775
105,MINOR_PULSES_PRODUCTION,15.01865326,22.9841,10.61376591,13.51664869
105,MINOR_PULSES_YIELD,228.4261615,346.1817,263.5854985,361.4286543
105,GROUNDNUT_YIELD,155.305338,913.902,198.9034321,883.6828913
105,SESAMUM_YIELD,524.9761844,744,348.8378483,369.6818228
105,RAPESEEDandMUSTARD_YIELD,409.5291215,5,424.6277317,-20.60908346
105,SAFFLOWER_YIELD,278.467046,503.5682,954.409076,-237.5450707
105,CASTOR_YIELD,288.287382,375.11076,294.2703142,450.5326342
105,LINSEED_YIELD,346.4101615,0,346.4101615,0
105,SUNFLOWER_YIELD,225.5872314,519.8244,218.3428983,515.3664193
105,SOYABEAN_YIELD,146.0241857,1712.097,163.2484764,1758.953346
105,OILSEEDS_YIELD,1155.916854,1282.2844,1160.985694,1280.533394
105,SUGARCANE_YIELD,899.2927568,11147.4854,918.8462253,11147.27254
105,COTTON_YIELD,222.4668995,169.6613,253.3948485,35.06942091
105,FRUITS_AREA,10.57448956,2.876793333,40.93274485,70.59320726
105,VEGETABLES_AREA,1.355991078,0.392295833,1.55247834,2.15180482
105,FRUITSandVEGETABLES_AREA,13.19940169,3.270323333,37.93347421,65.15381054
105,POTATOES_AREA ,0.030671885,0.012503333,0.019256204,0.02348593
105,ONION_AREA,0.602131838,0.2055,0.522056789,0.53123017
105,FODDER_AREA,0,0,0,0
106,RiceYD,696.020557,829.25,343.9320922,425.1723362
106,WheatYD,391.3493479,1357.8324,438.6586203,1328.412715
106,KharifSorghumYD,305.9888144,383.4157,258.2694993,223.3144014
106,RabiSorghumYD,226.742902,568.1284,231.2200745,517.7778035
106,PEARL_MILLET_YIELD,120.341631,407.255,156.586956,434.8644018
106,MAIZE_YIELD,541.066024,2253.8298,577.1907514,2352.184728
106,FINGER_MILLET_YIELD,288.6751346,0,288.6751346,0
106,BARLEY YIELD,0,0,0,0
106,CHICKPEA_YIELD,250.6221431,727.9185,237.7774927,702.4025585
106,PIGEONPEA_YIELD,226.3113464,417.5668,265.4096659,441.8992596
106,MINOR PULSES AREA (1000 ha),18.07824293,16.821,50.28686532,-50.63326931
106,MINOR_PULSES_PRODUCTION,3.69297534,8.3368,29.22043224,-27.66906388
106,MINOR_PULSES_YIELD,329.7692482,578.2198,336.5604375,473.1223999
106,GROUNDNUT_YIELD,201.9219951,1150.1323,214.0042622,1149.398613
106,SESAMUM_YIELD,230.0568221,746.7655,35.03594876,357.9198583
106,RAPESEEDandMUSTARD_YIELD,138.7766658,0,138.7766658,0
106,SAFFLOWER_YIELD,221.2762978,617.7971,203.2512565,563.0351184
106,CASTOR_YIELD,117.1598908,267.6666667,33.11039514,300.1246075
106,LINSEED_YIELD,265.1123683,355,352.7196632,446.9877288
106,SUNFLOWER_YIELD,236.5659383,496.1222,226.551342,523.3364717
106,SOYABEAN_YIELD,823.5932366,1173.4478,820.8279595,1272.423397
106,OILSEEDS_YIELD,763.1080894,1030.6428,804.2010581,1012.777191
106,SUGARCANE_YIELD,2142.045145,9063.1827,1550.615259,8562.620412
106,COTTON_YIELD,193.5591653,414.1879,175.340233,394.4097777
106,FRUITS_AREA,19.99947553,5.120908333,14.1009996,12.0192845
106,VEGETABLES_AREA,8.50646358,3.6889475,6.052584216,6.38496152
106,FRUITSandVEGETABLES_AREA,28.36507303,7.782913333,19.44466467,15.25733402
106,POTATOES_AREA ,0.019575,0.019575,0.006979205,0.0069792
106,ONION_AREA,13.50154883,4.6168,7.64913157,4.59914493
106,FODDER_AREA,0,0,0,0
107,RiceYD,405.1923078,2708.7159,334.5721076,2684.118678
107,WheatYD,166.3332565,2442.8239,125.4875239,2307.066425
107,KharifSorghumYD,270.2373571,2049.6494,157.4334712,1967.606394
107,RabiSorghumYD,420.6130844,1439.9485,387.1213224,1400.538855
107,PEARL_MILLET_YIELD,0,0,0,0
107,MAIZE_YIELD,939.1230448,2062.7181,988.1386384,1928.204286
